L,L
696,144
696,166
696,190
696,168
697,168
697,167
697,145
697,191
697,169
698,169
698,168
698,192
698,170
698,146
699,170
699,147
699,169
699,193
699,171
700,171
700,148
700,170
700,172
700,194
701,172
701,149
701,195
701,173
701,171
702,173
702,196
702,174
702,150
702,172
703,174
703,197
703,175
703,151
703,173
704,175
704,198
704,174
704,152
704,176
705,176
705,199
705,175
705,153
705,177
706,177
706,178
706,154
706,176
706,200
707,178
707,179
707,155
707,177
707,201
708,179
708,178
708,156
708,202
708,180
709,180
709,179
709,157
709,203
709,181
710,181
710,182
710,204
710,158
710,180
711,182
711,159
711,205
711,183
711,181
712,183
712,182
712,160
712,206
712,184
713,184
713,207
713,161
713,183
714,185
714,186
714,208
714,162
715,186
715,163
715,185
715,209
715,187
716,187
716,164
716,186
716,188
716,210
717,188
717,165
717,187
717,211
717,189
718,189
718,166
718,188
718,190
718,212
719,190
719,167
719,189
719,213
719,191
720,191
720,168
720,190
720,192
720,214
721,192
721,169
721,191
721,215
721,193
722,193
722,170
722,192
722,194
722,216
723,194
723,195
723,171
723,193
723,217
724,195
724,196
724,218
724,172
724,194
725,196
725,197
725,219
725,173
725,195
726,197
726,196
726,220
726,198
726,174
727,198
727,197
727,221
727,199
727,175
728,199
728,222
728,198
728,176
728,200
729,200
729,223
729,199
729,177
729,201
730,201
730,178
730,200
730,224
730,202
731,202
731,179
731,201
731,225
731,203
732,203
732,204
732,226
732,180
732,202
733,204
733,205
733,227
733,181
733,203
734,205
734,182
734,228
734,206
734,204
735,206
735,207
735,229
735,183
735,205
736,207
736,230
736,184
736,206
737,208
737,185
737,209
737,231
738,209
738,186
738,232
738,208
738,210
739,210
739,233
739,209
739,187
739,211
740,211
740,188
740,234
740,210
740,212
741,212
741,235
741,211
741,189
741,213
742,213
742,190
742,212
742,214
742,236
743,214
743,213
743,191
743,215
743,237
744,215
744,192
744,214
744,216
744,238
745,216
745,215
745,193
745,217
745,239
746,217
746,218
746,194
746,240
746,216
747,218
747,219
747,195
747,217
747,241
748,219
748,196
748,220
748,218
748,242
749,220
749,197
749,221
749,219
749,243
750,221
750,222
750,198
750,220
750,244
751,222
751,223
751,199
751,221
751,245
752,223
752,222
752,200
752,246
752,224
753,224
753,223
753,201
753,247
753,225
754,225
754,248
754,226
754,202
754,224
755,226
755,249
755,227
755,203
755,225
756,227
756,250
756,228
756,204
756,226
757,228
757,251
757,229
757,205
757,227
758,229
758,230
758,206
758,228
758,252
759,230
759,207
759,229
759,253
760,231
760,254
760,208
760,232
761,232
761,233
761,255
761,209
761,231
762,233
762,232
762,256
762,210
762,234
763,234
763,233
763,235
763,257
763,211
764,235
764,234
764,212
764,258
764,236
765,236
765,235
765,213
765,237
765,259
766,237
766,214
766,236
766,260
766,238
767,238
767,215
767,237
767,239
767,261
768,239
768,262
768,216
768,240
768,238
769,240
769,263
769,217
769,241
769,239
770,241
770,264
770,218
770,240
770,242
771,242
771,219
771,243
771,241
771,265
772,243
772,220
772,244
772,242
772,266
773,244
773,221
773,243
773,267
773,245
774,245
774,222
774,244
774,246
774,268
775,246
775,223
775,269
775,247
775,245
776,247
776,270
776,248
776,224
776,246
777,248
777,249
777,271
777,247
777,225
778,249
778,250
778,272
778,226
778,248
779,250
779,249
779,273
779,251
779,227
780,251
780,274
780,250
780,228
780,252
781,252
781,275
781,229
781,251
781,253
782,253
782,230
782,252
782,276
783,254
783,277
783,255
783,231
784,255
784,254
784,232
784,278
784,256
785,256
785,233
785,255
785,279
785,257
786,257
786,256
786,234
786,280
786,258
787,258
787,235
787,257
787,281
787,259
788,259
788,258
788,236
788,282
788,260
789,260
789,237
789,259
789,283
789,261
790,261
790,284
790,262
790,260
790,238
791,262
791,285
791,263
791,239
791,261
792,263
792,264
792,262
792,240
792,286
793,264
793,287
793,263
793,241
793,265
794,265
794,288
794,264
794,242
794,266
795,266
795,243
795,265
795,289
795,267
796,267
796,244
796,266
796,290
796,268
797,268
797,269
797,291
797,267
797,245
798,269
798,270
798,292
798,246
798,268
799,270
799,269
799,293
799,271
799,247
800,271
800,270
800,294
800,272
800,248
801,272
801,249
801,273
801,295
801,271
802,273
802,250
802,274
802,296
802,272
803,274
803,297
803,275
803,251
803,273
804,275
804,298
804,274
804,252
804,276
805,276
805,299
805,275
805,253
806,277
806,254
806,278
806,300
807,278
807,255
807,277
807,279
807,301
808,279
808,256
808,278
808,302
808,280
809,280
809,257
809,279
809,303
809,281
810,281
810,304
810,258
810,280
810,282
811,282
811,305
811,259
811,281
811,283
812,283
812,284
812,260
812,282
812,306
813,284
813,285
813,307
813,261
813,283
814,285
814,262
814,284
814,286
814,308
815,286
815,287
815,263
815,285
815,309
816,287
816,288
816,264
816,286
816,310
817,288
817,287
817,265
817,311
817,289
818,289
818,288
818,266
818,312
818,290
819,290
819,313
819,291
819,267
819,289
820,291
820,314
820,292
820,268
820,290
821,292
821,315
821,269
821,293
821,291
822,293
822,316
822,270
822,294
822,292
823,294
823,317
823,295
823,271
823,293
824,295
824,318
824,296
824,272
824,294
825,296
825,297
825,273
825,319
825,295
826,297
826,298
826,274
826,296
826,320
827,298
827,299
827,275
827,297
827,321
828,299
828,298
828,276
828,322
829,300
829,277
829,323
829,301
830,301
830,278
830,300
830,324
830,302
831,302
831,279
831,301
831,325
831,303
832,303
832,326
832,304
832,302
832,280
833,304
833,327
833,305
833,303
833,281
834,305
834,304
834,282
834,328
834,306
835,306
835,305
835,329
835,307
835,283
836,307
836,284
836,330
836,308
836,306
837,308
837,285
837,331
837,309
837,307
838,309
838,332
838,286
838,308
838,310
839,310
839,287
839,309
839,333
839,311
840,311
840,288
840,310
840,334
840,312
841,312
841,313
841,335
841,289
841,311
842,313
842,314
842,336
842,290
842,312
843,314
843,313
843,337
843,315
843,291
844,315
844,314
844,338
844,316
844,292
845,316
845,339
845,315
845,317
845,293
846,317
846,340
846,316
846,318
846,294
847,318
847,317
847,341
847,319
847,295
848,319
848,318
848,342
848,296
848,320
849,320
849,297
849,319
849,343
849,321
850,321
850,298
850,320
850,344
850,322
851,322
851,299
851,321
851,345
852,323
852,300
852,346
852,324
853,324
853,301
853,323
853,325
853,347
854,325
854,348
854,326
854,302
854,324
855,326
855,327
855,349
855,303
855,325
856,327
856,304
856,326
856,350
856,328
857,328
857,305
857,327
857,329
857,351
858,329
858,352
858,330
858,306
858,328
859,330
859,331
859,353
859,307
859,329
860,331
860,354
860,332
860,308
860,330
861,332
861,355
861,309
861,331
861,333
862,333
862,332
862,310
862,356
862,334
863,334
863,357
863,335
863,311
863,333
864,335
864,358
864,336
864,312
864,334
865,336
865,313
865,337
865,359
865,335
866,337
866,314
866,338
866,360
866,336
867,338
867,339
867,315
867,337
867,361
868,339
868,340
868,316
868,338
868,362
869,340
869,339
869,317
869,363
869,341
870,341
870,340
870,318
870,364
870,342
871,342
871,365
871,319
871,341
871,343
872,343
872,342
872,320
872,366
872,344
873,344
873,343
873,321
873,367
873,345
874,345
874,368
874,322
874,344
875,346
875,323
875,369
875,347
876,347
876,370
876,348
876,346
876,324
877,348
877,371
877,349
877,325
877,347
878,349
878,348
878,326
878,372
878,350
879,350
879,327
879,349
879,373
879,351
880,351
880,374
880,352
880,350
880,328
881,352
881,375
881,353
881,329
881,351
882,353
882,376
882,354
882,352
882,330
883,354
883,377
883,355
883,331
883,353
884,355
884,378
884,354
884,332
884,356
885,356
885,355
885,357
885,379
885,333
886,357
886,358
886,380
886,334
886,356
887,358
887,357
887,381
887,359
887,335
888,359
888,358
888,382
888,360
888,336
889,360
889,337
889,361
889,383
889,359
890,361
890,338
890,362
890,384
890,360
891,362
891,339
891,361
891,385
891,363
892,363
892,340
892,362
892,386
892,364
893,364
893,365
893,387
893,341
893,363
894,365
894,388
894,342
894,364
894,366
895,366
895,365
895,343
895,389
895,367
896,367
896,368
896,390
896,344
896,366
897,368
897,391
897,345
897,367
898,369
898,392
898,370
898,346
899,370
899,393
899,371
899,347
899,369
900,371
900,348
900,370
900,394
900,372
901,372
901,349
901,371
901,395
901,373
902,373
902,396
902,374
902,350
902,372
903,374
903,397
903,375
903,351
903,373
904,375
904,398
904,376
904,352
904,374
905,376
905,399
905,377
905,353
905,375
906,377
906,400
906,378
906,354
906,376
907,378
907,401
907,355
907,377
907,379
908,379
908,378
908,402
908,380
908,356
909,380
909,403
909,357
909,381
909,379
910,381
910,404
910,358
910,382
910,380
911,382
911,405
911,383
911,359
911,381
912,383
912,406
912,384
912,360
912,382
913,384
913,361
913,407
913,385
913,383
914,385
914,362
914,408
914,386
914,384
915,386
915,387
915,363
915,385
915,409
916,387
916,388
916,364
916,386
916,410
917,388
917,365
917,387
917,411
917,389
918,389
918,412
918,388
918,390
918,366
919,390
919,413
919,391
919,367
919,389
920,391
920,414
920,368
920,390
921,392
921,393
921,415
921,369
922,393
922,370
922,392
922,416
922,394
923,394
923,371
923,393
923,417
923,395
924,395
924,396
924,372
924,394
924,418
925,396
925,397
925,419
925,373
925,395
926,397
926,420
926,398
926,374
926,396
927,398
927,421
927,399
927,375
927,397
928,399
928,400
928,376
928,398
928,422
929,400
929,401
929,423
929,377
929,399
930,401
930,378
930,400
930,402
930,424
931,402
931,401
931,425
931,403
931,379
932,403
932,402
932,426
932,404
932,380
933,404
933,427
933,403
933,405
933,381
934,405
934,428
934,404
934,406
934,382
935,406
935,405
935,429
935,407
935,383
936,407
936,406
936,430
936,408
936,384
937,408
937,431
937,385
937,407
937,409
938,409
938,432
938,386
938,408
938,410
939,410
939,387
939,409
939,433
939,411
940,411
940,412
940,388
940,410
940,434
941,412
941,413
941,411
941,435
941,389
942,413
942,412
942,436
942,414
942,390
943,414
943,413
943,437
943,391
944,415
944,392
944,438
944,416
945,416
945,393
945,415
945,439
945,417
946,417
946,416
946,394
946,440
946,418
947,418
947,417
947,441
947,419
947,395
948,419
948,442
948,420
948,396
948,418
949,420
949,443
949,421
949,397
949,419
950,421
950,420
950,398
950,444
950,422
951,422
951,421
951,445
951,423
951,399
952,423
952,400
952,422
952,446
952,424
953,424
953,401
953,423
953,425
953,447
954,425
954,402
954,426
954,424
954,448
955,426
955,427
955,403
955,425
955,449
956,427
956,428
956,404
956,426
956,450
957,428
957,427
957,405
957,451
957,429
958,429
958,428
958,406
958,452
958,430
959,430
959,453
959,431
959,407
959,429
960,431
960,454
960,432
960,408
960,430
961,432
961,455
961,431
961,409
961,433
962,433
962,456
962,432
962,410
962,434
963,434
963,411
963,433
963,457
963,435
964,435
964,412
964,436
964,458
964,434
965,436
965,413
965,437
965,459
965,435
966,437
966,414
966,436
966,460
967,438
967,461
967,415
967,439
968,439
968,462
968,416
968,438
968,440
969,440
969,463
969,417
969,439
969,441
970,441
970,442
970,464
970,418
970,440
971,442
971,443
971,465
971,419
971,441
972,443
972,466
972,420
972,442
972,444
973,444
973,421
973,443
973,445
973,467
974,445
974,422
974,444
974,446
974,468
975,446
975,423
975,445
975,447
975,469
976,447
976,424
976,446
976,448
976,470
977,448
977,425
977,447
977,449
977,471
978,449
978,426
978,472
978,450
978,448
979,450
979,427
979,449
979,473
979,451
980,451
980,428
980,474
980,450
980,452
981,452
981,453
981,475
981,429
981,451
982,453
982,476
982,454
982,430
982,452
983,454
983,453
983,477
983,455
983,431
984,455
984,454
984,456
984,432
984,478
985,456
985,455
985,433
985,457
985,479
986,457
986,456
986,458
986,434
986,480
987,458
987,481
987,459
987,457
987,435
988,459
988,436
988,460
988,482
988,458
989,460
989,437
989,483
989,459
990,461
990,462
990,484
990,438
991,462
991,485
991,463
991,461
991,439
992,463
992,464
992,486
992,462
992,440
993,464
993,487
993,465
993,463
993,441
994,465
994,466
994,442
994,488
994,464
995,466
995,443
995,465
995,489
995,467
996,467
996,466
996,444
996,468
996,490
997,468
997,445
997,491
997,469
997,467
998,469
998,446
998,470
998,492
998,468
999,470
999,447
999,471
999,493
999,469
1000,471
1000,472
1000,494
1000,448
1000,470
1001,472
1001,449
1001,473
1001,471
1001,495
1002,473
1002,474
1002,472
1002,450
1002,496
1003,474
1003,475
1003,473
1003,451
1003,497
1004,475
1004,476
1004,474
1004,452
1004,498
1005,476
1005,453
1005,477
1005,475
1005,499
1006,477
1006,476
1006,454
1006,500
1006,478
1007,478
1007,477
1007,455
1007,501
1007,479
1008,479
1008,502
1008,456
1008,480
1008,478
1009,480
1009,503
1009,481
1009,457
1009,479
1010,481
1010,504
1010,482
1010,458
1010,480
1011,482
1011,483
1011,481
1011,505
1011,459
1012,483
1012,460
1012,482
1012,506
1013,484
1013,507
1013,485
1013,461
1014,485
1014,508
1014,486
1014,462
1014,484
1015,486
1015,509
1015,487
1015,485
1015,463
1016,487
1016,510
1016,488
1016,464
1016,486
1017,488
1017,487
1017,465
1017,511
1017,489
1018,489
1018,466
1018,488
1018,512
1018,490
1019,490
1019,513
1019,491
1019,489
1019,467
1020,491
1020,514
1020,492
1020,468
1020,490
1021,492
1021,515
1021,493
1021,491
1021,469
1022,493
1022,494
1022,516
1022,470
1022,492
1023,494
1023,517
1023,471
1023,495
1023,493
1024,495
1024,472
1024,494
1024,518
1024,496
1025,496
1025,473
1025,495
1025,519
1025,497
1026,497
1026,474
1026,520
1026,496
1026,498
1027,498
1027,475
1027,521
1027,497
1027,499
1028,499
1028,476
1028,498
1028,522
1028,500
1029,500
1029,477
1029,499
1029,523
1029,501
1030,501
1030,502
1030,524
1030,478
1030,500
1031,502
1031,503
1031,525
1031,479
1031,501
1032,503
1032,502
1032,526
1032,504
1032,480
1033,504
1033,503
1033,527
1033,481
1033,505
1034,505
1034,528
1034,482
1034,504
1034,506
1035,506
1035,483
1035,505
1035,529
1036,507
1036,508
1036,484
1037,508
1037,509
1037,485
1037,507
1038,509
1038,510
1038,486
1038,508
1039,510
1039,487
1039,509
1039,511
1040,511
1040,488
1040,510
1040,512
1041,512
1041,513
1041,489
1041,511
1042,513
1042,514
1042,490
1042,512
1043,514
1043,515
1043,491
1043,513
1044,515
1044,516
1044,492
1044,514
1045,516
1045,517
1045,493
1045,515
1046,517
1046,494
1046,518
1046,516
1047,518
1047,517
1047,495
1047,519
1048,519
1048,520
1048,496
1048,518
1049,520
1049,521
1049,497
1049,519
1050,521
1050,520
1050,498
1050,522
1051,522
1051,521
1051,499
1051,523
1052,523
1052,524
1052,500
1052,522
1053,524
1053,525
1053,501
1053,523
1054,525
1054,502
1054,526
1054,524
1055,526
1055,503
1055,527
1055,525
1056,527
1056,526
1056,528
1056,504
1057,528
1057,527
1057,505
1057,529
1058,529
1058,528
1058,506
1059,530
1059,531
1059,553
1060,531
1060,530
1060,554
1060,532
1061,532
1061,531
1061,533
1061,555
1062,533
1062,556
1062,534
1062,532
1063,534
1063,535
1063,557
1063,533
1064,535
1064,534
1064,558
1064,536
1065,536
1065,535
1065,537
1065,559
1066,537
1066,560
1066,538
1066,536
1067,538
1067,539
1067,561
1067,537
1068,539
1068,538
1068,562
1068,540
1069,540
1069,539
1069,541
1069,563
1070,541
1070,542
1070,564
1070,540
1071,542
1071,541
1071,565
1071,543
1072,543
1072,542
1072,566
1072,544
1073,544
1073,545
1073,567
1073,543
1074,545
1074,546
1074,568
1074,544
1075,546
1075,545
1075,569
1075,547
1076,547
1076,546
1076,570
1076,548
1077,548
1077,549
1077,571
1077,547
1078,549
1078,572
1078,548
1078,550
1079,550
1079,549
1079,551
1079,573
1080,551
1080,552
1080,574
1080,550
1081,552
1081,575
1081,551
1082,553
1082,530
1082,576
1082,554
1083,554
1083,531
1083,553
1083,577
1083,555
1084,555
1084,578
1084,556
1084,554
1084,532
1085,556
1085,579
1085,557
1085,533
1085,555
1086,557
1086,556
1086,534
1086,580
1086,558
1087,558
1087,535
1087,557
1087,581
1087,559
1088,559
1088,582
1088,560
1088,558
1088,536
1089,560
1089,583
1089,561
1089,537
1089,559
1090,561
1090,560
1090,538
1090,584
1090,562
1091,562
1091,539
1091,561
1091,585
1091,563
1092,563
1092,586
1092,562
1092,564
1092,540
1093,564
1093,587
1093,541
1093,565
1093,563
1094,565
1094,588
1094,542
1094,566
1094,564
1095,566
1095,589
1095,567
1095,543
1095,565
1096,567
1096,590
1096,568
1096,544
1096,566
1097,568
1097,545
1097,591
1097,569
1097,567
1098,569
1098,546
1098,570
1098,592
1098,568
1099,570
1099,571
1099,547
1099,569
1099,593
1100,571
1100,572
1100,548
1100,570
1100,594
1101,572
1101,549
1101,571
1101,595
1101,573
1102,573
1102,596
1102,572
1102,574
1102,550
1103,574
1103,597
1103,575
1103,551
1103,573
1104,575
1104,598
1104,552
1104,574
1105,576
1105,599
1105,553
1105,577
1106,577
1106,578
1106,554
1106,576
1106,600
1107,578
1107,579
1107,601
1107,555
1107,577
1108,579
1108,556
1108,578
1108,580
1108,602
1109,580
1109,557
1109,579
1109,581
1109,603
1110,581
1110,604
1110,582
1110,558
1110,580
1111,582
1111,605
1111,583
1111,559
1111,581
1112,583
1112,606
1112,560
1112,582
1112,584
1113,584
1113,607
1113,561
1113,583
1113,585
1114,585
1114,586
1114,562
1114,584
1114,608
1115,586
1115,609
1115,587
1115,585
1115,563
1116,587
1116,586
1116,610
1116,588
1116,564
1117,588
1117,611
1117,587
1117,589
1117,565
1118,589
1118,612
1118,588
1118,590
1118,566
1119,590
1119,589
1119,613
1119,591
1119,567
1120,591
1120,590
1120,614
1120,592
1120,568
1121,592
1121,615
1121,591
1121,569
1121,593
1122,593
1122,616
1122,570
1122,592
1122,594
1123,594
1123,571
1123,593
1123,617
1123,595
1124,595
1124,596
1124,572
1124,594
1124,618
1125,596
1125,597
1125,595
1125,619
1125,573
1126,597
1126,596
1126,620
1126,598
1126,574
1127,598
1127,597
1127,621
1127,575
1128,599
1128,576
1128,622
1128,600
1129,600
1129,599
1129,623
1129,601
1129,577
1130,601
1130,578
1130,624
1130,602
1130,600
1131,602
1131,579
1131,625
1131,603
1131,601
1132,603
1132,626
1132,604
1132,580
1132,602
1133,604
1133,627
1133,605
1133,581
1133,603
1134,605
1134,628
1134,606
1134,604
1134,582
1135,606
1135,629
1135,607
1135,605
1135,583
1136,607
1136,606
1136,584
1136,630
1136,608
1137,608
1137,607
1137,609
1137,631
1137,585
1138,609
1138,586
1138,610
1138,608
1138,632
1139,610
1139,611
1139,587
1139,609
1139,633
1140,611
1140,612
1140,588
1140,610
1140,634
1141,612
1141,611
1141,589
1141,635
1141,613
1142,613
1142,612
1142,590
1142,636
1142,614
1143,614
1143,637
1143,615
1143,591
1143,613
1144,615
1144,638
1144,616
1144,592
1144,614
1145,616
1145,639
1145,615
1145,593
1145,617
1146,617
1146,640
1146,616
1146,594
1146,618
1147,618
1147,595
1147,617
1147,641
1147,619
1148,619
1148,596
1148,620
1148,642
1148,618
1149,620
1149,597
1149,621
1149,643
1149,619
1150,621
1150,598
1150,620
1150,644
1151,622
1151,599
1151,623
1151,645
1152,623
1152,646
1152,624
1152,600
1152,622
1153,624
1153,625
1153,647
1153,601
1153,623
1154,625
1154,648
1154,626
1154,602
1154,624
1155,626
1155,627
1155,649
1155,603
1155,625
1156,627
1156,650
1156,628
1156,604
1156,626
1157,628
1157,629
1157,651
1157,605
1157,627
1158,629
1158,606
1158,628
1158,652
1158,630
1159,630
1159,607
1159,629
1159,631
1159,653
1160,631
1160,654
1160,608
1160,630
1160,632
1161,632
1161,609
1161,633
1161,631
1161,655
1162,633
1162,610
1162,634
1162,656
1162,632
1163,634
1163,611
1163,633
1163,657
1163,635
1164,635
1164,612
1164,634
1164,658
1164,636
1165,636
1165,637
1165,659
1165,613
1165,635
1166,637
1166,638
1166,660
1166,614
1166,636
1167,638
1167,637
1167,661
1167,639
1167,615
1168,639
1168,638
1168,662
1168,640
1168,616
1169,640
1169,663
1169,639
1169,617
1169,641
1170,641
1170,664
1170,640
1170,642
1170,618
1171,642
1171,665
1171,643
1171,641
1171,619
1172,643
1172,620
1172,644
1172,666
1172,642
1173,644
1173,621
1173,667
1173,643
1174,645
1174,668
1174,646
1174,622
1175,646
1175,669
1175,647
1175,623
1175,645
1176,647
1176,670
1176,648
1176,646
1176,624
1177,648
1177,671
1177,649
1177,625
1177,647
1178,649
1178,672
1178,650
1178,648
1178,626
1179,650
1179,673
1179,651
1179,627
1179,649
1180,651
1180,650
1180,628
1180,674
1180,652
1181,652
1181,629
1181,651
1181,675
1181,653
1182,653
1182,676
1182,654
1182,652
1182,630
1183,654
1183,677
1183,631
1183,653
1183,655
1184,655
1184,654
1184,678
1184,656
1184,632
1185,656
1185,633
1185,679
1185,657
1185,655
1186,657
1186,634
1186,680
1186,658
1186,656
1187,658
1187,659
1187,635
1187,657
1187,681
1188,659
1188,660
1188,636
1188,658
1188,682
1189,660
1189,637
1189,661
1189,659
1189,683
1190,661
1190,638
1190,662
1190,660
1190,684
1191,662
1191,663
1191,639
1191,661
1191,685
1192,663
1192,664
1192,640
1192,662
1192,686
1193,664
1193,663
1193,665
1193,641
1193,687
1194,665
1194,664
1194,688
1194,666
1194,642
1195,666
1195,689
1195,667
1195,643
1195,665
1196,667
1196,644
1196,690
1196,666
1197,668
1197,669
1197,691
1197,645
1198,669
1198,692
1198,670
1198,646
1198,668
1199,670
1199,693
1199,671
1199,647
1199,669
1200,671
1200,672
1200,648
1200,670
1200,694
1201,672
1201,673
1201,695
1201,649
1201,671
1202,673
1202,650
1202,672
1202,696
1202,674
1203,674
1203,651
1203,673
1203,697
1203,675
1204,675
1204,676
1204,652
1204,674
1204,698
1205,676
1205,677
1205,699
1205,653
1205,675
1206,677
1206,654
1206,676
